metric,value
loss,0.1771
accuracy,0.9861752158717105
precision,0.6691602268249187
recall,0.7327555311757177
f1_score,0.6995154375724401
iou,0.5378883054687584
dice,0.6995154375724401
threshold,0.5
tp,200372
fp,99066
fn,73078
tn,12079324
