metric,value
loss,0.207
accuracy,0.9862958406147204
precision,0.7351638699288159
recall,0.5876686780032913
f1_score,0.6531934525382186
iou,0.48499426570893944
dice,0.6531934525382186
threshold,0.5
tp,160698
fp,57890
fn,112752
tn,12120500
