threshold,accuracy,precision,recall,f1_score,iou,dice,tp,fp,fn,tn
0.30,0.9855200516550164,0.6457842940852406,0.7544706527701591,0.6959094113559625,0.5336357898875358,0.6959094113559625,206310,113162,67140,12065228
0.40,0.9858694779245477,0.6577812013502973,0.7432217955750594,0.6978961881394666,0.5359758429262761,0.6978961881394666,203234,105735,70216,12072655
0.50,0.9861752158717105,0.6691602268249187,0.7327555311757177,0.6995154375724401,0.5378883054687584,0.6995154375724401,200372,99066,73078,12079324
0.60,0.9864448948910362,0.6805597725578956,0.7213311391479247,0.7003525765069716,0.5388789019599273,0.7003525765069716,197248,92584,76202,12085806
0.70,0.9867018850226151,0.6933226752313836,0.7073285792649479,0.7002556007704227,0.5387640840656815,0.7002556007704227,193419,85555,80031,12092835
