threshold,accuracy,precision,recall,f1_score,iou,dice,tp,fp,fn,tn
0.30,0.986000542891653,0.7086169088896465,0.6156920826476504,0.6588942961523634,0.4913067584918875,0.6588942961523634,168361,69230,105089,12109160
0.40,0.9861841302168997,0.7229660506448223,0.6012872554397514,0.6565364350928472,0.4886894235484686,0.6565364350928472,164422,63005,109028,12115385
0.50,0.9862958406147204,0.7351638699288159,0.5876686780032913,0.6531934525382186,0.48499426570893944,0.6531934525382186,160698,57890,112752,12120500
0.60,0.9863796033357319,0.7471171921475313,0.5741012982263668,0.6492808768029779,0.48069274037239695,0.6492808768029779,156988,53137,116462,12125253
0.70,0.9864354986893503,0.7600503450025621,0.5587127445602487,0.6440122833603463,0.47493961446517224,0.6440122833603463,152780,48233,120670,12130157
