threshold,accuracy,precision,recall,f1_score,iou,dice,tp,fp,fn,tn
0.30,0.9561186137952226,0.3117916865479398,0.8268129456939112,0.4528233866219101,0.292677243636213,0.4528233866219101,226092,499046,47358,11679344
0.40,0.9603478682668508,0.33456295397333685,0.8145840190162735,0.4743164139440695,0.3108878002484333,0.4743164139440695,222748,443040,50702,11735350
0.50,0.9637706555818178,0.35599564271565154,0.8031194002559883,0.4933194660964027,0.32742141084034676,0.4933194660964027,219613,397285,53837,11781105
0.60,0.9668424104389314,0.3781082087660186,0.790802706162004,0.5116027079491295,0.343727249895886,0.5116027079491295,216245,355668,57205,11822722
0.70,0.9698300813373688,0.4030045337488163,0.7765880416895228,0.5306383037205752,0.36113525013222136,0.5306383037205752,212358,314579,61092,11863811
